 1/2" NPT/M20x1,5
0,1 Übermaß ; gesch.
0,1 u-size
0,50x3,3x9,0
0,5X100X150
0,5x52x50/Petrobras
0,6x7x18
0.0HP 169RPM 10.37 RATIO
0.12 x 0.75
0.12 x 2.00
0.120NPT
0.125" THK, 60 DURO
0.125NPT
0.125Z"NPT
0.1325
0.145" X 0.285" X 0.070"
0.16HP 356RPM 4.77:1 RATIO
0.16HP, 309RPM, 5.50:1 RATIO
0.176" X 0.316" X 0.070"
0.1875
0.25
0.25 MALE X 0.125 FEMALE NPT
0.25 NPT
0.25 x 1.00
0.25 x 1.5 x 2.25
0.25 x 1.50
0.25 x 1.75
0.25 x 2.00
0.25 x 2.25
0.25 x 2.50
0.25 x 3 x 8.36
0.25 x 3.00
0.25 x 3.38
0.25 x 3.50
0.25 x 3.75
0.25 x 3.75 x 35.75
0.25 x 5.50
0.25 x 8.00
0.25" NPT MALE
0.25" X 0.25" FEMALE NPT
0.25" X 3.25"
0.25" X 7.12" X 34.00"
0.25"OD
0.25"THK. X 14.00" X 2.00"
0.25"THK. X 14.00" X 4.00"
0.25"THK. X 20" X 3"
0.25"THK. X 3.00" X 1.00"
0.250HP,1705/5.7RPM,460V,200:1
0.250HP,1705/5.7RPM,460V,300:1
0.250NPT
0.250NPT FEMALE S.S.
0.25HP, 282RPM, 5.96:1 RATIO
0.25HP, 352 RPM, 4.77:1 RATIO
0.25HP,1705/21RPM,460V,80.00:1
0.25HP,1705/43RPM,460V,40.00:1
0.25HP,1705/5.700RPM,460V,300:1
0.25HP,1705/68RPM,460V,25.00:1
0.25HP,1705/8.500RPM,460V,200:1
0.25HP,1730RPM,230V,56C
0.25HP,1750/17RPM,460V,100.00:1
0.25HP,1750/17RPM,460V,30.00:1
0.25HP,1750/58RPM,460V,30.00:1
0.25HP,1750/68RPM,460V,25.00:1
0.25HP,1750RPM,90DC,56C
0.25HP,1800RPM,460V,56C
0.25HP,22RPM,80:1 RATIO
0.25HP,44RPM,40:1 RATIO
0.25HP,70RPM,25:1 RATIO
0.25NPT
0.25Z NPT
0.25Z*NPT
0.27KW,7000RPM,460V
0.31 x 3.00
0.33HP 1800RPM 56C 90VDC
0.33HP 358RPM 4.77:1 RATIO
0.33HP 358RPM 4.77:1 RATIO 180E
0.33HP, 287RPM
0.33HP,1720/119RPM,460V,14.4:1
0.33HP,1720/349RPM, 4.89:1 RATIO
0.33HP,1720/353RPM,460V,4.89:1
0.33HP,1720/400RPM, 4.30:1 RATIO
0.33HP,1725/43RPM,460V,40.00:1
0.33HP,1740/29RPM,460V,60.00:1
0.33HP,1750RPM,90V,56C
0.33HP,1800RPM,208-230/460V,56C
0.33HP,1800RPM,460V,56C
0.33HP,29RPM,60.00:1
0.341HP,29RPM,60.00:1
0.375
0.375"
0.3750BSP
0.38 x 1.25
0.38 x 1.75
0.38 x 2.50
0.38 x 3.00
0.38 x 4.00
0.387HP,32RPM,54.03:1
0.409HP,35RPM,50.00:1
0.4KW AC460V 60HZ 3PHASE
0.5
0.5 HP 120V/1PH 200/240V 3PH
0.5 HP 219RPM 8.00:1 RATIO
0.5 HP 819RPM 2.10:1 RATIO
0.5 NPT ALL FEMALE
0.5" BSP
0.5" FNPT X 0.5" FNPT
0.5" FNPT X 0.5" FNPT, 90DEG
0.5" FNPT; 1.4 LITERS; 150 PSI
0.5" MALE X .025" FEMALE NPT
0.5" MALE X .125" NPT FEMALE
0.5" MALE X 0.5 FEMALE NPT,45DEG
0.5" NPT
0.5" NPT ALL FEMALE
0.5" NPT CONNECTIONS
0.5" NPT X 0.5" NPT
0.5" NPT X 10"
0.5" NPT X 2"
0.5" NPT X 3"
0.5" NPT X 4"
0.5" NPT X 5"
0.5" PIPE X 1/4"-20
0.5" TUBE X 0.5" NPT
0.5" X 0.5" FEMALE NPT
0.5" X 0.5" FNPT
0.5" X 0.5" NPT
0.5" X 3.50" X 34.00"
0.5" X 4.00" X 34.00"
0.5"/0.5" 125# FF ANSI
0.5"/0.5" 125# FF ANSI; HSG LEFT
0.5"/0.5" BSP, 105-IEC;14mm
0.5"/0.5" FNPT
0.5"/0.5" FNPT IEc-120 19mm
0.5"/0.5" NPT
0.5"BSP;19mm;120IEC
0.5"NPT, 4" Gauge 0-30PSI, flush
0.5"NPT;120IEC;19mm
0.5"NPT;15.87mm;120IEC
0.5"NPT;19mm;120IEC
0.5"THK. X 17.00" X 14.25"
0.5"THK. X 4" X 22.25"LG
0.5"THK. X 4" X 50"LG
0.5/.33HP,1735/1425RPM,DUALV56C
0.50 LITER
0.50 x 1.50
0.50 x 1.75
0.50 x 10.00
0.50 x 2.00
0.50 x 3.00
0.50 x 3.50
0.50 x 4.00
0.50 x 4.00 x 6.25
0.50 x 5.00
0.50 x 6.00
0.50 x 6.50
0.50 x 8.00
0.50" NPT
0.50" TRI-CLAMP
0.50"MALE X 0.25" FEMALE NPT
0.50"NPS
0.50"NPT;160IEC; 19mm
0.50"NPT;19mm;120IEC
0.50"OD
0.500NPT
0.50FNPT;14mm;120IEC
0.50FNPT;15.87mm;120IEC
0.50FNPT;19mm;120IEC
0.50HP 109RPM 15.77:1 RATIO
0.50HP 1800RPM 56C
0.50HP 361RPM 4.77:1 RATIO
0.50HP, 313RPM 5.50:1 RATIO
0.50HP,1725/43RPM,460V,40.00:1
0.50HP,1725/69RPM,460V,25.00:1
0.50HP,1730/152RPM,11.39:1 RATIO
0.50HP,1800RPM,208-230/460V,56C
0.50HP,26/130RPM, 13.20:1 RATIO
0.50HP,26/130RPM, 13.20:1RATIO
0.50HP,307RPM,277/480V,5.62:1
0.50HP,410RPM,4.17:1 RATIO
0.50HP,80/399RPM, 4.31:1 RATIO
0.50NPT;19mm;120IEC
0.50Z NPT
0.5-1.5HP,120/240V,NEMA 4X
0.554HP,29RPM,60.00:1
0.55kW,900RPM,380V,90S/L
0.591"THK. X 13" X 4"
0.591"THK. X 8.30" X 4.75"
0.5HP 1200RPM 56C TEFC
0.5HP 172RPM 10.00:1 RATIO
0.5HP 172RPM 10:1 RATIO
0.5HP 1750/445RPM 3.93:1 RATIO
0.5HP 1800RPM
0.5HP 1800RPM 56C TEFC
0.5HP 1800RPM 56C TEFC XP
0.5HP 193RPM 8.91:1 RATIO
0.5HP 215RPM 8.00:1 RATIO
0.5HP 230V 3 PHASE
0.5HP 240RPM 5.96:1 RATIO
0.5HP 262RPM  6.57:1 RATIO
0.5HP 289RPM 5.96:1 RARTIO
0.5HP 289RPM 5.96:1 RATIO
0.5HP 3/200/240
0.5HP 324RPM 5.31:1 RATIO
0.5HP 361RPM 4.77:1 RATIO
0.5HP 372RPM 4.62:1 RATIO
0.5HP 400V 3PH
0.5HP 439RPM 3.92:1 RATIO
0.5HP 445RPM 3.93:1 RATIO
0.5HP 454RPM 3.79:1 RATIO
0.5HP 48/238RPM 7.23:1 RATIO
0.5HP 480RPM 3.58:1 RATIO
0.5HP 494RPM 3.46:1 RATIO
0.5HP 497RPM 3.46:1 RATIO
0.5HP 524RPM 3.28 RATIO
0.5HP 524RPM 3.28:1 RATIO
0.5HP 583RPM 2.95 RATIO
0.5HP 583RPM 2.95:1 RATIO
0.5HP 632 RPM 2.72:1 RATIO
0.5HP 632RPM 2.72:1 RATIO
0.5HP 669RPM 2.57 RATIO
0.5HP 669RPM 2.57:1 RATIO
0.5HP 738RPM 2.33:1 RATIO
0.5HP 819RPM 2.10:1 RATIO
0.5HP 820RPM 2.1:1 RATIO
0.5HP 84RPM 20.37:1 RATIO
0.5HP, 111RPM, 15.76:1 RATIO
0.5HP, 13/126RPM, 9.03:1 RATIO
0.5HP, 1710/218RPM, 7.83:1 RATIO
0.5HP, 1720/238RPM, 7.23:1 RATIO
0.5HP, 1720/262RPM, 6.57:1 RATIO
0.5HP, 1720/298RPM, 5.77:1 RATIO
0.5HP, 1720/335RPM, 5.14:1 RATIO
0.5HP, 1720/412RPM, 4.17:1
0.5HP, 1720/412RPM, 4.17:1 RATIO
0.5HP, 1720/524RPM, 3.28:1 RATIO
0.5HP, 1750/303RPM, 5.77:1 RATIO
0.5HP, 176RPM,9.79:1 RATIO
0.5HP, 1800, 143TC
0.5HP, 1800RPM, 56C
0.5HP, 188RPM, 9.02:1 TEFC-*T
0.5HP, 193 RPM, 8.91:1 RATIO
0.5HP, 193RPM, 8.91:1 RATIO
0.5HP, 197RPM, 8.72:1 RATIO
0.5HP, 215RPM, 8.00:1 RATIO
0.5HP, 218RPM, 7.83:1 RATIO
0.5HP, 238RPM,  7.23:1 RATIO
0.5HP, 26/529RPM, 4.3:1 RATIO
0.5HP, 262RPM, 6.57:1 RATIO
0.5HP, 267RPM, 6.43 RATIO
0.5HP, 289PM, 5.96:1 RATIO
0.5HP, 289RPM, 5.96:1 RATIO
0.5HP, 289RPM, RATIO 5.96
0.5HP, 294RPM, 5.96:1
0.5HP, 298RPM, 5.77:1 RATIO
0.5HP, 318 RPM, 5.5:1 RATIO
0.5HP, 324RPM, 5.31:1 RATIO
0.5HP, 330 RPM, 5.31:1 RATIO
0.5HP, 361RPM, 4.77:1 RATIO
0.5HP, 361RPM, 4.77:1, (120MM)
0.5HP, 361RPM, 4.77:1, (160MM)
0.5HP, 361RPM, RATIO 4.77:1
0.5HP, 399 RPM, 4.31:1 RATIO
0.5HP, 399RPM, 4.31:1 RATIO
0.5HP, 406 RPM, 4.31:1 RATIO
0.5HP, 406RPM, 4.31:1 RATIO
0.5HP, 439 RPM, 3.92 RATIO
0.5HP, 439RPM, 3.92:1 RATIO
0.5HP, 439RPM, 3.92:1RATIO
0.5HP, 497RPM, 3.46:1 RATIO
0.5HP, 55 RPM,31.0:1 RATIO
0.5HP, 604RPM,  2.85:1 RATIO
0.5HP, 669RPM, 2.57:1 RATIO
0.5HP, 90RPM, 19.2:1 RATIO
0.5HP,1140RPM,90VDC,56C
0.5HP,120V,2.4A,NEMA 4X
0.5HP,121/604RPM, 2.85:1 RATIO
0.5HP,127RPM, 13.54:1 RATIO
0.5HP,127RPM,13.54:1
0.5HP,130RPM, 13.20:1 RATIO
0.5HP,130RPM,13.20:1 RATIO,(M4)
0.5HP,1380/611RPM,460V,2.26:1
0.5HP,148/738RPM, 2.33:1 RATIO
0.5HP,149RPM 11.56:1 RATIO
0.5HP,15/149RPM, 11.56:1 RATIO
0.5HP,16/158RPM, 9.79:1 RATIO
0.5HP,16/324RPM,5.31:1 RATIO
0.5HP,1700/567,230V,3.00:1
0.5HP,1715/288RPM, 5.96:1 RATIO
0.5HP,1720/113RPM,460V,15.23:1
0.5HP,1720/119RPM,460V,14.4:1
0.5HP,1720/127RPM,460V,13.54:1
0.5HP,1720/145RPM,460V,15.76:1
0.5HP,1720/159RPM,460V,10.83:1
0.5HP,1720/172RPM,460V,10.00:1
0.5HP,1720/175RPM,460V,9.85:1
0.5HP,1720/176RPM,460V,9.79:1
0.5HP,1720/197RPM,460V,8.72:1
0.5HP,1720/220RPM,460V,7.83:1
0.5HP,1720/238RPM,460V,7.23:1
0.5HP,1720/243RPM, 7.08:1 RATIO
0.5HP,1720/243RPM,460V,7.08:1
0.5HP,1720/243RPM,575V,7.08:1
0.5HP,1720/262RPM,460V,6.57:1
0.5HP,1720/262RPM,460V/6.57:1
0.5HP,1720/262RPM,575V,6.57:1
0.5HP,1720/262RPM,6.57:1 RATIO
0.5HP,1720/267RPM,460V,6.43:1
0.5HP,1720/267RPM,575V,6.43:1
0.5HP,1720/298RPM,460V,5.77:1
0.5HP,1720/313RPM,460V,5.5:1
0.5HP,1720/313RPM,5.5:1 RATIO
0.5HP,1720/324RPM,5.31:1 RATIO
0.5HP,1720/335RPM,460V,5.14:1
0.5HP,1720/361RPM,4.77:1 RATIO
0.5HP,1720/372RPM,460V,4.62:1
0.5HP,1720/387RPM,460V,9.95:1
0.5HP,1720/399RPM, 4.31:1 RATIO
0.5HP,1720/412RPM, 4.17:1 RATIO
0.5HP,1720/439RPM, 3.92:1 RATIO
0.5HP,1720/44RPM, 38.75:1 RATIO
0.5HP,1720/44RPM,460V,38.75:1
0.5HP,1720/480RPM, 3.58:1 RATIO
0.5HP,1720/480RPM,3.58:1 RATIO
0.5HP,1720/482RPM,460V,3.58:1
0.5HP,1720/524RPM,3.28:1 RATIO
0.5HP,1720/534RPM,460V,3.22:1
0.5HP,1720/583RPM, 2.95:1 RATIO
0.5HP,1720/583RPM,2.95:1 RATIO
0.5HP,1720/583RPM,460V,2.95:1
0.5HP,1720/589RPM,460V,2.92:1
0.5HP,1720/604RPM,2.85:1 RATIO
0.5HP,1720/738RPM,460V,2.33:1
0.5HP,1720/80RPM,460V,21.38:1
0.5HP,1720/90RPM,230/460V,19.2:1
0.5HP,1720/99RPM,460V,17.35:1
0.5HP,1720RPM,460V,56C
0.5HP,1720RPM,460V,IP66/F
0.5HP,1725/17RPM,230/460V,100:1
0.5HP,1725/216RPM,460V,8.00:1
0.5HP,1725/22RPM,460V,80.00:1
0.5HP,1725/248RPM,460V,6.94:1
0.5HP,1725/289RPM,460V,5.96:1
0.5HP,1725/307RPM,480V,5.62:1
0.5HP,1725/325RPM,460V,5.31:1
0.5HP,1725/35RPM,460V,50.00:1
0.5HP,1725/373,230/460V,4.62:1
0.5HP,1725/43RPM,460V,40.00:1
0.5HP,1725/45RPM,460V,38.75:1
0.5HP,1725/526RPM,460V,3.28:1
0.5HP,1725/58RPM,460V,30.00:1
0.5HP,1725/69RPM,460V,25.00:1
0.5HP,1725/77RPM,460V,22.42:1
0.5HP,1725/86RPM,460V,20.00:1
0.5HP,1725/93RPM,460V,24.75:1
0.5HP,1725RPM, 56C
0.5HP,1725RPM,460V,IEC B14 C105
0.5HP,1725RPM,460V,IEC B5 A160
0.5HP,1730RPM,230V,56C
0.5HP,1735/376RPM,460V,4.62:1
0.5HP,1735RPM,230/460V,56C
0.5HP,1745/196RPM,460V,8.91:1
0.5HP,1750/29RPM,460V,60.00:1
0.5HP,1750RPM,230/460V,56C
0.5HP,1750RPM,460V,143TC
0.5HP,1750RPM,460V,56C
0.5HP,1750RPM,90 DC V,56C
0.5HP,1750RPM,90DC,56C
0.5HP,1750RPM,90V,S56C,WASHGUARD
0.5HP,1750RPM,90VDC,56C
0.5HP,1760RPM,460V,56C
0.5HP,176RPM,575V,9.79:1 RATIO
0.5HP,1775RPM,460V,56C
0.5HP,1800RPM,208-230/460V,56C
0.5HP,1800RPM,230/460V,56C
0.5HP,1800RPM,460V,56C
0.5HP,1800RPM,460V,71
0.5HP,1800RPM,56C,WASHDOWN
0.5HP,1800RPM,90VDC,SS56C
0.5HP,19/372RPM, 4.62:1 RATIO
0.5HP,197RPM,8.72:1 RATIO
0.5HP,20/399RPM, 4.31:1 RATIO
0.5HP,22RPM,80:1 RATIO
0.5HP,24/480RPM, 3.58:1 RATIO
0.5HP,26/130RPM, 13.20:1 RATIO
0.5HP,262RPM,460V,6.57:1
0.5HP,27/532RPM, 4.31:1 RATIO
0.5HP,295RPM,5.96:1
0.5HP,318RPM,5.5:1
0.5HP,361RPM, 4.77:1,(120MM, M4)
0.5HP,372RPM,4.62:1 RATIO
0.5HP,379RPM,4.62:1 RATIO
0.5HP,38/193RPM, 8.91:1 RATIO
0.5HP,39/589RPM, 2.92:1 RATIO
0.5HP,439RPM, 3.92:1 RATIO
0.5HP,439RPM,570V,3.92:1 RATIO
0.5HP,44RPM,40:1 RATIO
0.5HP,534RPM,3.28:1
0.5HP,54/267RPM, 6.43:1 RATIO
0.5HP,54/26RPM, 6.43:1 RATIO
0.5HP,70/691RPM,2.49:1 RATIO
0.5HP,70RPM,25:1 RATIO
0.5HP,73/361RPM, 4.77:1 RATIO
0.5HP,900RPM,460V,56C
0.5HP,91/454RPM, 3.8:1 RATIO
0.5HP,97RPM,.46:1 RATIO
0.5HP,99RPM, 17.35:1 RATIO
0.5HP; In NPT1/2"; OutNPT1/2"
0.5HP-3.0HP IP65 NEMA 4X
0.625
0.625" THK. X 19.5" X 25"
0.625" THK. X 20" X 25"
0.625" X 19.0" x 22.0"
0.625" X 27.00" x 27.50"
0.625" X 27.50" x 20.00"
0.625" X 27.50" x 27.50"
0.625"THK. X 25.00" X 19.25"
0.625"THK. X 26.25" X 10.375"
0.625"THK. X 27" X 19.5"
0.625"THK. X 27" X 34"
0.625"THK. X 27.5" X 35"
0.625x2.25
0.63
0.63 x 1.50
0.63 x 2.50
0.63 x 3.00
0.75
0.75 x 1.50
0.75 x 2.00
0.75 x 2.50
0.75 x 4.00
0.75 x 6.00
0.75"
0.75"/0.75" FNPT
0.75"/0.75" RF
0.75"NPT
0.750NPT
0.750Z*NPT
0.75HP 1725 RPM 56C
0.75HP 1725 RPM 56C TEFC
0.75HP 1750/420RPM 4.17:1 RATIO
0.75HP 410RPM 4.17:1 RATIO
0.75HP, 1750RPM, 5.00:1 RATIO
0.75HP, 242RPM 7.23:1 RATIO
0.75HP, 266RPM, 6.43:1 RATIO
0.75HP, 296RPM, 5.77:1
0.75HP, 325RPM, 5.26:1 RATIO
0.75HP, 333RPM, 5.14:1 RATIO
0.75HP, 370RPM, 4.62:1 RATIO
0.75HP, 398RPM, 4.30:1 RATIO
0.75HP, 586RPM, 2.92:1RATIO
0.75HP,1200RPM,208-230/460V,56C
0.75HP,1700/475RPM, 3.58:1 RATIO
0.75HP,1710/150RPM,460V,11.39:1
0.75HP,1730/337RPM,460V,2.32:1
0.75HP,1730/455RPM, 3.58:1 RATIO
0.75HP,1735/29RPM,460V,60.00:1
0.75HP,1735/85RPM,460V,20.37:1
0.75HP,1750/150RPM,460V,11.39:1
0.75HP,1750/266RPM, 6.43:1 RATIO
0.75HP,1755RPM,208-230/460V,56C
0.75HP,1800RPM,460V,56TC
0.75HP,2.6A,200-240V
0.75HP,22RPM,80:1 RATIO
0.75HP,44RPM,40:1 RATIO
0.75KW,1450RPM,220/380V,B35T
0.75kW,1751/410RPM, 4.27:1 RATIO
0.75NPT
0.75Z
0.813x2.25
0.819HP,63RPM,27.62:1
0.83"H x 4.36"L x 1.34"W
0.857HP,111RPM,15.77:1
0.875
0.875HP,133RPM,13.20:1
0.875x3
0.966HP,40RPM,43.26:1
0/2,0 BA
0/200 PSIG
0/60 psig
00.0HP,0000/000RPM,000V,0.00:1
00.0HP,000RPM,0.00:1
00.0HP,462RPM,3.79:1
0000/000RPM, 0.00:1 RATIO
00HP, 000RPM, 0.00:1 RATIO
00HP,0000/000RPM, 0.00:1 RATIO
00HP,0000RPM,000V,000TC
00HP/000RPM, 0.00:1 RATIO
0-100PSI 2.5" DIAL .25" NPT
0-100PSI 3.5" DIAL .25" SOCKET
0-100PSI, 125/250VAC 0.12"NPT
011BY02S12B-8005
01403050;R1.3/16"-7/8"
0159
015BO04S24B-140
0-160PSI1-1/2"NPT
02
0-200PSI 2.5" DIAL .25" NPT
021BY01L06B-508
025
025 CARTEX DN15
025/G=1/8"NPT
03 x 5,16
030;D24960
0-30PSI 2.5" DIAL .25"NPT
0-30PSI;WIKA 213.53;UE H100
031BO02S12B-508
035
035/ G=1/8"NPT
0-4 bar DN80
040 / G=1/8"NPT
040;F.KU-D24960; MG1
043
043 f.seal MG1-G6/G60
043;f.KU-D24960;MG1
045 SPECIAL
04A
050"Z*NPT
05403050; C1"
05403050; C1.1/8"
05403050; C7/8"
055
055/f.seal HJ977GN/G=1/4"NPT
055; G=1/4"NPT
055;KU-DIN;MG1
06
06 X 26
06 X 9,53
0-60 PSI 233.34;3-100PSI B424V
0-600RPM
0-600RPM  STOP 400 RPM
0-60PSI 2.0" DIAL .50" SOCKET
0-60PSI 4.5" DIAL .50"NPT
0-60PSI;ASH 1008SL;ASH B424B
065; G=1/4"NPT
065;f.KU-D24960
065;f.MG1-G60
070 / G=1/4"NPT
070; f.seal MG1-G6/G60
070; SPÜLANS.G0.25Z
08
085
085 / G=1/4"NPT
085;F.KU+NU
0857HP,111RPM,15.77:1
08x500795/08x501059/16x502018
0D 0.5", ID .38"
¼" NPT x 2” Brass Nipple
¼” Apollo 77-100 Series
¼” Brass Elbow 90 Degree
1
1 .250-7 * 3.50
1 / C: C=102,00 / L: L=19,00
1 / C: C=108,00 / L: L=19,30
1 / C: C=111,00 / L: L=41,60
1 / C: C=147,00 / L: L=20,80
1 / C: C=155,00 / L: L=19,30
1 / C: C=178,00 / L: L=69,00
1 / C: C=187,00 / L: L=25,70
1 / C: C=228,00 / L: L=25,00
1 / C: C=228,00 / L: L=51,00
1 / C: C=45,00 / L: L=11,30
1 / C: C=59,50 / L: L=18,00
1 / C: C=65,00 / L: L=23,00
1 / C: C=75,00 / L: L=20,40
1 / C: C=89,00 / L: L=19,80
1 / C: C=93,00 / L: L=22,60
1 / C: C=95,00 / L: L=46,00
1 / L: L=15,00 / B
1 / L: L=15,90
1 / L: L=16,30
1 / L: L=16,50
1 / L: L=18,00
1 / L: L=18,00 / B
1 / L: L=18,60
1 / L: L=18,70
1 / L: L=18,80
1 / L: L=19,00
1 / L: L=19,10
1 / L: L=19,20
1 / L: L=19,30
1 / L: L=19,50
1 / L: L=19,60
1 / L: L=20,00
1 / L: L=20,20
1 / L: L=20,30
1 / L: L=20,40
1 / L: L=20,60
1 / L: L=20,80
1 / L: L=20,90
1 / L: L=21,00
1 / L: L=21,10
1 / L: L=21,20
1 / L: L=21,40
1 / L: L=21,60
1 / L: L=21,90
1 / L: L=22,00
1 / L: L=22,50
1 / L: L=23,00
1 / L: L=24,00
1 / L: L=24,40
1 / L: L=25,40
1 / L: L=27,00
1 / L: L=29,50
1 / L: L=30,00
1 / L: L=41,40
1 / L: L=46,00
1 / L: L=50,00
1 / L: L=51,00
1 / L: L=68,00 / B
1 1 / H: H=20,00mm
1 1 / H: H=21,50mm
1 1 / H: H=27,00mm
1 1 / H: H=30,50mm
1 1 / H: H=31,00mm
1 1 / H: H=35,50mm
1 1 / H: H=40,50mm
1 1 / H: H=41,00mm
1 1 / H: H=75,00mm
1 1 / L: L=32,00
1 1/2"
1 1/2" 1.C.1
1 1/2" SCH 40
1 1/2" TRI CLAMP / 1" CIP
1 1/2" TRI-CLAMP
1 1/2"beids. Gewinde
1 1/2"RJT to 1"RJT
1 1/2"TC
1 1/4"
1 1/4" BSP
1 1/4" BSP; 3-Drains
1 1/4"NPT
1 1/4"NPT - 150#ANSI
1 1/8" Pin  x 1 1/8" Box
1 1/8" x 1 1/8"
1 1/8" x 1"
1 1/8" x 7/8"
1 1/8"(F) x 1"(F) SH/API11B
1 3/8"X10-Mx1 1/16X10-F
1 3/8"X10-Mx1 3/8"X10-F
1 BSP - 10 MB/code: EL54691
1 cutters block f.shaft
1 gal/kit
1 GALLON
1 KIT = 1 GAL.
1 KIT = 1 GALLON
1 KIT = 2 GAL
1 KIT = 2 GAL.
1 KIT = 2 GALLON
1 KIT = 2 GALLONS
1 KIT = 4 GALLONS
1 L
1 LITER
1 LITER BOTTLE
1 NPTF FEMALE X 1/2 NPTF MALE
1 quart bottle
1 X 1 X 35
1 X 1 X 6
1 x 1,50 / Ø1.1
1 X 2 / DN 1
1 X 2 X 1
1 x 2 x 2.5
1 X 3
1 x 3 x 2.5
1 x 3/16 - 96"
1 x 3/16 - 96" ROUND TUBE
1 X 689951
1"
1" - 8-UN
1" - 8UNC
1" - UNC
1" / 1.1/2"
1" / 1.3/8"
1" / 1/2"
1" / 1/2" / R 1"BSP
1" / 2"
1" / 3/4"
1" / 3/8"
1" / C: C=110,00 / L: L=42,60
1" / C: C=111,00 / L: L=30,80
1" / C: C=140,00 / L: L=37,00
1" / H: H=15,00mm
1" / H: H=21,50mm
1" / H: H=40,50mm
1" / L: L=22,00
1" / L: L=22,00 / B
1" / L: L=22,80
1" / L: L=23,10
1" / L: L=23,30
1" / L: L=23,40
1" / L: L=23,50
1" / L: L=23,60
1" / L: L=23,70
1" / L: L=23,80
1" / L: L=24,00
1" / L: L=24,20
1" / L: L=24,30
1" / L: L=24,40
1" / L: L=24,50
1" / L: L=24,60
1" / L: L=25,00
1" / L: L=25,70
1" / L: L=28,00
1" / L: L=28,40
1" / L: L=29,50
1" / L: L=30,00
1" / L: L=30,80
1" / L: L=33,60
1" / L: L=39,00
1" / L: L=40,00
1" / R 1"BSP
1" / R1"BSP
1" ANSI
1" ANSI B16.5/150/RF/line 832
1" ANSI B16.5/150LBS/FF
1" BSP
1" BSP(M) x 3/4" NPT(F)
1" BSPP MALE X 3/4" NPTF FEMALE
1" CL600; 1/2” CL600; 3/4"CL600
1" CONNECTION
1" FNPT INLET
1" FNPT; 1.4 LITERS; 150 PSI
1" G-thread; 390-523mm Tube end
1" MNPT for flange
1" NPT
1" NPT BALL VALVE
1" NPT/1 drain/330x700
1" NPT/1 drain/330x700/spec.
1" NPT/10"/300PSI/RF/special
1" NPT/line 833 full passage
1" PIPE NIPPLE MALE X 2.50"LG
1" SMS
1" T.C. 1.A.2, 4.A.1; CIP 2.C.0
1" TC
1" TC 2.A.1 PER IT160810
1" THK. X 5.0" X 24.0"
1" TRI-CLAMP
1" x 1"
1" x 1" x 20'
1" x 3/4"
1" x 5/8"
1" x 7/8"
1"(F) x 1(F)" SH/API11B
1"*2.375"
1"/1" 150# FF ANSI
1"/1" CL600 RF
1"/1" NPT
1"/1" TC DIN32676
1"/1" TC ISO-2852
1"/1" TC, IEC-120 19mm
1"/1" TC; +3 extra 1"TC
1"/1" TC;+3extra1"TC
1"/1" Tri-Clamp per ISO-2825
1"/A=51,0/B=27,0/C=2,0
1"/ANSI 16.5/150PSI/FF
1"/ASME B-16.5/600/RF
1"-150# - THREADED FLANGE
1"-600# RF
1"--600#ansi;1 1/4"NPT
1"BSP
1"NPT
1"NPT FEMALE
1"NPT/special
1"TC
1"TC 3.A.1 PER IT160810
1"TC/L=853;A=1061;B=968/
1"Tri-Clamp;19mm;160IEC
1"x2" /SEE INT.COMMENT
1"x2.7/8"
1"Z*NPT
1,0L
1,25A 110/220VCA/24VDC 3
1,25Z*NPT*USA
1,5 X 180 X 180
1,5 x 8 x 158
1,5604x14f.p.p(API11AX)X1.1/4NPT
1,5L
1,5L 
1,5X52X50/Petrobras
1,94"
1.0 BORE X .25 KEY
1.0 BORE X.25 KEY
1.0 HP
1.0 HP 120V/1PH 200/240V 3PH
1.0 HP 151 RPM 11.56:1 RATO
1.0 HP, 593RPM,  2.95:1 RATIO
1.0"
1.0" DIA.
1.0" X 5.00" X 30.00"
1.0" X 5.00" X 34.00"
1.0"-125# W/SWITCH
1.0×7.6×53
1.00 THK.X 5.0 X 51.00 LONG
1.00 x 1.75
1.00 x 2.00
1.00 x 3.00
1.00 x 3.50
1.00 x 4.50
1.00 x 5.00
1.00 x 5.50
1.00 x 6.00
1.00 x 8.00
1.00"TRI-CLAMP
1.000"
1.000-150# FULL FACE
1.000NPT
1.00-8
1.00THK*8.00*21.00LG
1.00x5.0x46.00
1.054HP,22RPM,80.00:1
1.0-8 * 4.5
1.0-8 * 5.0
1.0CV,4P,FLG IEC,FRAME 90S,B35D
1.0HP 1/115/230VAC
1.0HP 105RPM 16.50:1 RATIO
1.0HP 111RPM 15.76:1 RATIO
1.0HP 1199RPM 1.46:1 RATIO
1.0HP 1200RPM, 56C
1.0HP 128 RPM 13.54:1 RATIO
1.0HP 128RPM 12.96:1 RATIO
1.0HP 137RPM 12.06:1 RATIO
1.0HP 143RPM 12.06:1 RATIO
1.0HP 160RPM 10.83:1 RATIO
1.0HP 169RPM 9.79:1 RATIO
1.0HP 1730RPM 143TC
1.0HP 1750RPM 56C
1.0HP 1750RPM 90VDC S56C
1.0HP 1750RPM TEFC/F 143TC MOD
1.0HP 175RPM 10.0:1 RATIO
1.0HP 175RPM 10.00:1 RATIO
1.0HP 177RPM 9.79:1 RATIO
1.0HP 1800 RPM 143TC
1.0HP 1800RPM 143TC
1.0HP 1800RPM 143TC 575V
